USD_BRL,Dia,Mes,Ano
3.2,9,1,2017
3.22,6,1,2017
3.2,5,1,2017
3.22,4,1,2017
3.27,3,1,2017
3.29,2,1,2017
3.25,30,12,2016
3.25,29,12,2016
3.28,28,12,2016
3.27,27,12,2016
3.28,26,12,2016
3.27,23,12,2016
3.29,22,12,2016
3.33,21,12,2016
3.35,20,12,2016
3.36,19,12,2016
3.39,16,12,2016
3.37,15,12,2016
3.37,14,12,2016
3.34,13,12,2016
3.34,12,12,2016
3.38,9,12,2016
3.38,8,12,2016
3.38,7,12,2016
3.41,6,12,2016
3.42,5,12,2016
3.48,2,12,2016
3.47,1,12,2016
3.38,30,11,2016
3.4,29,11,2016
3.39,28,11,2016
3.42,25,11,2016
3.39,24,11,2016
3.39,23,11,2016
3.36,22,11,2016
3.35,21,11,2016
3.38,18,11,2016
3.42,17,11,2016
3.42,16,11,2016
3.44,15,11,2016
3.43,14,11,2016
3.39,11,11,2016
3.39,10,11,2016
3.22,9,11,2016
3.17,8,11,2016
3.2,7,11,2016
3.23,4,11,2016
3.24,3,11,2016
3.24,2,11,2016
3.24,1,11,2016
3.19,31,10,2016
3.21,28,10,2016
3.17,27,10,2016
3.14,26,10,2016
3.12,25,10,2016
3.12,24,10,2016
3.15,21,10,2016
3.14,20,10,2016
3.17,19,10,2016
3.19,18,10,2016
3.2,17,10,2016
3.21,14,10,2016
3.18,13,10,2016
3.2,12,10,2016
3.2,11,10,2016
3.21,10,10,2016
3.22,7,10,2016
3.23,6,10,2016
3.22,5,10,2016
3.26,4,10,2016
3.21,3,10,2016
3.26,30,9,2016
3.26,29,9,2016
3.22,28,9,2016
3.23,27,9,2016
3.24,26,9,2016
3.24,23,9,2016
3.22,22,9,2016
3.21,21,9,2016
3.26,20,9,2016
3.27,19,9,2016
3.26,16,9,2016
3.3,15,9,2016
3.34,14,9,2016
3.31,13,9,2016
3.25,12,9,2016
3.27,9,9,2016
3.21,8,9,2016
3.19,7,9,2016
3.2,6,9,2016
3.28,5,9,2016
3.26,2,9,2016
3.26,1,9,2016
3.23,31,8,2016
3.24,30,8,2016
3.23,29,8,2016
3.27,26,8,2016
3.24,25,8,2016
3.23,24,8,2016
3.23,23,8,2016
3.2,22,8,2016
3.2,19,8,2016
3.24,18,8,2016
3.2,17,8,2016
3.2,16,8,2016
3.19,15,8,2016
3.19,12,8,2016
3.14,11,8,2016
3.13,10,8,2016
3.15,9,8,2016
3.17,8,8,2016
3.17,5,8,2016
3.19,4,8,2016
3.24,3,8,2016
3.26,2,8,2016
3.26,1,8,2016
3.25,29,7,2016
3.29,28,7,2016
3.26,27,7,2016
3.28,26,7,2016
3.29,25,7,2016
3.26,22,7,2016
3.27,21,7,2016
3.26,20,7,2016
3.25,19,7,2016
3.25,18,7,2016
3.28,15,7,2016
3.25,14,7,2016
3.26,13,7,2016
3.3,12,7,2016
3.31,11,7,2016
3.3,8,7,2016
3.37,7,7,2016
3.33,6,7,2016
3.3,5,7,2016
3.27,4,7,2016
3.24,1,7,2016
3.21,30,6,2016
3.22,29,6,2016
3.3,28,6,2016
3.39,27,6,2016
3.37,24,6,2016
3.34,23,6,2016
3.38,22,6,2016
3.42,21,6,2016
3.39,20,6,2016
3.42,17,6,2016
3.47,16,6,2016
3.47,15,6,2016
3.48,14,6,2016
